2theta,Intensity
40.78,10
40.8,10
40.82,12
40.84,8
40.86,8
40.88,4.66667
40.9,8
40.92,8.66667
40.94,8
40.96,8
40.98,11.3333
41,12.6667
41.02,10.6667
41.04,12
41.06,10.6667
41.08,10.6667
41.1,10
41.12,16
41.14,10.6667
41.16,12.6667
41.18,13.3333
41.2,18
41.22,17.3333
41.24,20
41.26,20
41.28,22.6667
41.3,23.3333
41.32,27.3333
41.34,27.3333
41.36,21.3333
41.38,27.3333
41.4,26
41.42,32
41.44,30.6667
41.46,33.3333
41.48,42.6667
41.5,41.3333
41.52,38.6667
41.54,36.6667
41.56,40.6667
41.58,38
41.6,45.3333
41.62,50
41.64,44
41.66,48
41.68,60
41.7,54
41.72,62.6667
41.74,76
41.76,89.3333
41.78,76
41.8,84.6667
41.82,101.333
41.84,85.3333
41.86,93.3333
41.88,82
41.9,91.3333
41.92,76.6667
41.94,52.6667
41.96,52
41.98,36.6667
42,33.3333
42.02,24
42.04,27.3333
42.06,18.6667
42.08,16.6667
42.1,18
42.12,12.6667
42.14,11.3333
42.16,16.6667
42.18,12.6667
42.2,8
42.22,12
42.24,8.66667
42.26,7.33333
42.28,10
42.3,12
42.32,10
42.34,8.66667
42.36,10
42.38,8.66667
42.4,6
42.42,9.33333
42.44,9.33333
42.46,9.33333
42.48,12.6667
42.5,12.6667
42.52,11.3333
42.54,11.3333
42.56,18
42.58,18
42.6,14.6667
42.62,19.3333
42.64,20.6667
42.66,17.3333
42.68,14.6667
42.7,13.3333
42.72,12.6667
42.74,12
42.76,16.6667
42.78,10
42.8,11.3333
42.82,6
42.84,10
42.86,14
42.88,9.33333
42.9,11.3333
42.92,10.6667
42.94,8.66667
42.96,10
42.98,10.6667
43,6
43.02,8.66667
43.04,10.6667
43.06,10
43.08,8.66667
43.1,7.33333
43.12,8
43.14,6.66667
43.16,8.66667
43.18,9.33333
43.2,10
43.22,9.33333
43.24,6.66667
43.26,6.66667
43.28,7.33333
43.3,8.66667
43.32,10.6667
43.34,12
43.36,8.66667
43.38,9.33333
43.4,12
43.42,10
43.44,14
43.46,12
43.48,12
43.5,14.6667
43.52,17.3333
43.54,21.3333
