2theta,Intensity
41.58,38.6667
41.6,42
41.62,44
41.64,39.3333
41.66,30.6667
41.68,30.6667
41.7,32
41.72,24.6667
41.74,26.6667
41.76,22
41.78,18.6667
41.8,20.6667
41.82,23.3333
41.84,16
41.86,20
41.88,23.3333
41.9,23.3333
41.92,18.6667
41.94,24
41.96,19.3333
41.98,17.3333
42,20
42.02,15.3333
42.04,9.33333
42.06,14.6667
42.08,9.33333
42.1,9.33333
42.12,6
42.14,4.66667
42.16,8.66667
42.18,6
42.2,4
42.22,7.33333
42.24,8
42.26,6
42.28,3.33333
42.3,7.33333
42.32,7.33333
42.34,8.66667
42.36,7.33333
42.38,8
42.4,6.66667
42.42,5.33333
42.44,4
42.46,4.66667
42.48,7.33333
42.5,6.66667
42.52,4
42.54,3.33333
42.56,4.66667
42.58,7.33333
42.6,6
42.62,3.33333
42.64,6
42.66,6.66667
42.68,7.33333
42.7,6
42.72,5.33333
42.74,6
42.76,5.33333
42.78,6
42.8,4.66667
42.82,4.66667
42.84,6
42.86,7.33333
42.88,4
42.9,6
42.92,5.33333
42.94,2.66667
42.96,4.66667
42.98,8
43,6
43.02,3.33333
43.04,4.66667
43.06,5.33333
43.08,4.66667
43.1,4
43.12,6
43.14,4.66667
43.16,6.66667
43.18,4.66667
43.2,3.33333
43.22,2
43.24,3.33333
43.26,5.33333
43.28,5.33333
43.3,4
43.32,3.33333
43.34,6
43.36,8
43.38,4.66667
43.4,3.33333
43.42,4
43.44,5.33333
43.46,5.33333
43.48,5.33333
43.5,6
43.52,5.33333
43.54,4
43.56,4.66667
43.58,6
43.6,8.66667
43.62,14
43.64,11.3333
43.66,8.66667
43.68,10
43.7,16.6667
43.72,18.6667
43.74,25.3333
43.76,32
43.78,28.6667
43.8,30
43.82,30
43.84,30.6667
43.86,32.6667
43.88,28
43.9,38
43.92,41.3333
43.94,44.6667
43.96,52.6667
43.98,61.3333
44,80
44.02,122
44.04,148.667
44.06,172.667
44.08,196.667
44.1,194
44.12,196.667
44.14,175.333
44.16,157.333
44.18,142.667
44.2,124
44.22,104
44.24,82.6667
